subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
20,left,D1,left,7203,-5.658,-0.3279,0.00088,0.001543,0.2985,16.98,0.413,129,109,141,-39,-17,69
20,left,D1,right,8329,-3.326,-0.5118,-0.005688,-0.000455,0.5,2.334,0.4243,43,94,132,47,-32,60
20,left,D2,left,7203,-11.69,-0.4041,-0.03177,-0.04506,0.3799,4.291,0.398,131,111,139,-41,-15,67
20,left,D2,right,8329,-4.728,-0.1856,0.4279,0.2576,1.234,10.73,0.7408,58,117,144,32,-9,72
20,left,D3,left,7203,-4.992,-0.3083,0.04517,0.02957,0.4272,18.09,0.4557,129,109,141,-39,-17,69
20,left,D3,right,8329,-3.397,-0.3527,0.1547,0.0995,0.7234,6.055,0.5427,47,108,141,43,-18,69
20,left,D4,left,7203,-11.0,-0.3921,-0.05269,-0.0353,0.2972,4.391,0.4072,127,106,142,-37,-20,70
20,left,D4,right,8329,-3.09,-0.5577,-0.03154,-0.06766,0.5319,9.061,0.542,47,108,141,43,-18,69
20,left,D5,left,7203,-3.607,-0.577,-0.164,-0.1592,0.2648,5.757,0.4097,129,109,141,-39,-17,69
20,left,D5,right,8329,-3.362,-0.3679,0.2974,0.1586,1.097,8.172,0.7386,58,117,144,32,-9,72
20,right,D1,left,7203,-1.803,-0.2566,0.232,0.108,0.8262,12.22,0.6034,130,111,139,-40,-15,67
20,right,D1,right,8329,-1.408,-0.2476,0.07855,0.03536,0.4878,2.387,0.3069,43,94,132,47,-32,60
20,right,D2,left,7203,-1.951,-0.2564,0.1445,0.08747,0.5802,6.291,0.4187,129,109,141,-39,-17,69
20,right,D2,right,8329,-2.269,-0.2207,0.06723,0.04617,0.3639,2.701,0.2798,58,117,144,32,-9,72
20,right,D3,left,7203,-2.542,-0.3,0.1345,0.07582,0.6446,4.151,0.4266,129,109,141,-39,-17,69
20,right,D3,right,8329,-4.669,-0.5702,-0.1602,-0.1125,0.217,1.427,0.4197,32,112,127,58,-14,55
20,right,D4,left,7203,-2.193,-0.3083,0.1894,0.08549,0.7932,6.401,0.503,129,103,143,-39,-23,71
20,right,D4,right,8329,-1.844,-0.3625,-0.03165,-0.06628,0.3449,2.877,0.318,48,102,143,42,-24,71
20,right,D5,left,7203,-4.371,-0.3012,0.08929,0.02264,0.563,2.71,0.4335,134,99,134,-44,-27,62
20,right,D5,right,8329,-2.228,-0.2443,0.08103,0.07774,0.4011,2.084,0.295,53,123,139,37,-3,67
