subject,hand,trial,referred_to
21,left,61,D1
21,left,51,D1
21,left,63,D1
21,left,59,D1
21,left,57,D1
21,left,85,D1
21,left,58,D1
21,left,50,D1
21,left,39,palm
21,left,32,palm
21,left,12,D2
21,left,52,D2
21,left,19,D2
21,left,22,D2
21,left,23,D2
21,left,4,palm
21,left,20,D3
21,left,33,D3
21,left,73,D3
21,left,7,D3
21,left,18,D3
21,left,44,D3
21,left,37,D3
21,left,56,D3
21,left,47,D3
21,left,67,D3
21,left,90,D3
21,left,1,palm
21,left,15,D4
21,left,40,D4
21,left,77,D4
21,left,78,D4
21,left,87,D4
21,left,65,D4
21,left,80,D4
21,left,31,D5
21,right,41,D4
21,right,34,D4
21,right,29,D4
21,right,71,D4
